Mean,Stdev,Term1,Term2
359,10,all,clover
682,11,United,oral
463,23,help,prevention
882,10,less,liver
184,0,being,all
737,18,warfarin,United
514,18,over,help
439,7,results,less
798,13,Research,being
710,0,produced,warfarin
124,14,anticoagulant,over
237,9,including,results
381,16,human,Research
25,1,signs,produced
470,8,disease.,anticoagulant
261,0,"disease,",including
247,10,(a,human
305,18,children,signs
991,22,causes,disease.
995,21,one,"disease,"
346,20,increase,(a
506,16,It,children
931,2,group,causes
670,18,cells.,one
75,19,adverse,increase
762,18,had,It
408,14,Acetylcysteine,group
479,11,should,cells.
383,3,symptoms,adverse
20,19,to,had
129,8,enzyme,Acetylcysteine
950,22,treatment,should
442,0,under,symptoms
765,1,decreased,to
134,20,has,enzyme
923,20,plasma,treatment
376,19,drug,under
413,4,mortality,decreased
203,6,then,has
811,17,them,plasma
805,3,risk,drug
184,10,combination,mortality
794,2,acute,then
102,10,When,them
216,2,anemia.,risk
526,11,fluid,combination
649,9,early,acute
281,23,several,When
400,15,therapy,anemia.
397,24,effects,fluid
442,7,birth,early
617,3,not,several
466,7,during,therapy
982,18,"However,",effects
106,4,now,birth
513,23,anemia,not
199,1,loss,during
655,4,increasing,"However,"
705,7,level,now
346,13,conditions,anemia
735,8,proteins,loss
253,5,intravenous,increasing
995,4,specific,level
5,9,these,conditions
841,9,coagulation,proteins
981,11,common,intravenous
37,3,cholesterol,specific
555,8,an,these
280,11,found,coagulation
512,11,where,common
506,0,side,cholesterol
726,17,bone,an
27,16,reactions,found
99,18,because,where
564,17,Atenolol,side
166,22,For,bone
334,22,people,reactions
768,7,bleeding,because
431,2,the,Atenolol
651,15,peripheral,For
900,3,skin,people
904,4,some,bleeding
32,21,potent,the
687,19,deficiency,peripheral
651,7,include,skin
795,7,are,some
345,2,doses,potent
210,1,further,deficiency
885,4,paracetamol,include
964,12,out,are
344,3,even,doses
302,8,large,further
777,19,shown,paracetamol
334,8,gastrointestinal,out
636,3,Wisconsin,even
145,9,for,large
513,17,factors,shown
561,16,review,gastrointestinal
206,24,since,Wisconsin
620,17,while,for
542,16,its,factors
90,7,cell,review
877,0,Lovastatin,since
278,25,3,while
710,24,does,its
759,24,Salbutamol,cell
362,6,atenolol,Lovastatin
588,2,between,3
276,16,moderate,does
9,22,cause,Salbutamol
57,11,occurs,atenolol
689,4,demonstrated,between
61,19,available,moderate
18,18,be,cause
930,14,we,occurs
58,3,various,demonstrated
246,25,patient,available
339,0,reductase,be
149,5,carboxylation,we
803,6,K,various
549,4,were,patient
833,6,vitamin,reductase
333,22,albumins,carboxylation
519,8,hours,K
818,22,reported,were
986,24,formation,vitamin
529,19,although,albumins
889,2,active,hours
261,4,appears,reported
916,9,after,formation
333,18,heparin,although
488,11,both,active
841,18,about,appears
639,18,interaction,after
743,18,of,heparin
466,0,National,both
574,6,commonly,about
407,6,reduced,interaction
658,21,range,of
60,3,usually,National
749,23,studies,commonly
194,0,or,reduced
125,6,first,range
125,19,among,usually
307,1,major,studies
628,20,presence,or
730,10,sweet,first
121,10,into,among
895,12,within,major
958,1,Warfarin,presence
756,25,number,sweet
256,3,due,into
349,8,down,within
859,12,chronic,Warfarin
984,23,K1,number
716,15,B12,due
599,21,rash,down
138,9,pregnancy,chronic
275,19,your,K1
184,13,red,B12
262,15,albuterol,rash
667,13,use,pregnancy
295,23,from,your
82,15,would,red
421,22,anticoagulation,albuterol
112,14,addition,use
37,3,developed,from
224,8,RBCs,would
347,23,there,anticoagulation
253,14,they,addition
992,5,only,developed
838,6,been,RBCs
161,0,by,there
994,7,hemoglobin,they
119,21,2,only
131,25,treat,been
699,25,maintenance,by
346,23,taken,hemoglobin
980,21,clinical,2
842,19,albumin,treat
76,11,was,maintenance
976,7,low,taken
673,13,DNA,clinical
481,25,"addition,",albumin
715,24,form,was
124,23,reaction,low
449,18,These,DNA
194,22,abnormal,"addition,"
823,9,This,form
956,23,infusion,reaction
125,18,but,These
437,17,reduce,abnormal
594,6,lovastatin,This
678,1,They,infusion
691,1,related,but
914,18,inhibitor,reduce
622,19,known,lovastatin
960,12,cases,They
725,7,given,related
451,21,with,inhibitor
293,1,than,known
506,13,VKORC1,cases
505,24,women,given
774,2,"anemia,",with
146,15,10,than
831,4,mg,VKORC1
942,21,made,women
355,2,showed,"anemia,"
468,23,developing,10
542,20,this,mg
710,13,type,made
787,10,cells,showed
626,25,when,developing
726,20,overdose.,this
210,13,will,type
373,3,patients,cells
879,25,those,when
222,5,can,overdose.
244,24,iron,will
863,25,many,patients
690,17,polymorphisms,those
879,25,naturally,can
517,2,study,iron
544,22,result,many
775,12,and,polymorphisms
85,18,heart,naturally
369,9,associated,study
116,4,epoxide,result
413,9,include:,and
159,11,do,heart
342,6,defined,associated
47,2,certain,epoxide
746,12,is,include:
408,24,binding,do
474,21,it,defined
345,0,often,certain
98,16,high,is
913,15,as,binding
448,2,Other,it
947,8,caused,often
549,7,INR,high
378,25,have,as
970,9,in,Other
160,6,seen,caused
275,9,protein,INR
587,24,activity,have
10,0,occur,in
841,7,increased,seen
409,0,drugs,protein
298,11,smear,activity
785,24,different,occur
276,3,compared,increased
423,22,decrease,drugs
641,10,no,smear
602,20,),different
919,3,that,compared
289,17,percent,decrease
328,24,damage,no
960,13,who,)
469,15,serum,that
919,18,1,percent
246,23,also,damage
521,18,recommended,who
938,17,other,serum
640,10,In,1
259,3,which,also
838,24,dose,recommended
687,8,you,other
705,2,if,In
263,24,tests,which
970,8,higher,dose
598,6,A,you
108,9,product,if
831,1,used,tests
354,2,normal,higher
826,24,may,A
178,22,"warfarin,",product
9,23,warfarin.,used
578,5,effect,normal
838,15,acetylcysteine,may
737,23,most,"warfarin,"
71,4,levels,warfarin.
919,17,two,effect
659,2,significant,acetylcysteine
805,4,such,most
312,21,The,levels
779,1,on,two
533,7,RBC,significant
119,0,six,such
182,10,types,The
407,13,a,on
434,0,severe,RBC
958,18,renal,six
346,1,effective,types
523,24,blood,a
110,6,typically,severe
39,7,medical,renal
458,0,sometimes,effective
733,10,well,blood
625,15,disease,typically
477,18,their,medical
752,13,more,sometimes
854,24,As,well
563,22,without,disease
77,3,2006,their
732,21,induced,more
537,2,time,As
351,3,at,without
447,11,clover,2006
549,14,oral,induced
816,2,prevention,time
392,3,liver,at
